id1,id2,numax1,numax2,sep_arcsec,teff1,teff2,rad1,rad2,dist1,dist2
734419217,734419219,43.4986601067496,43.49569327761992,1.047587002544575,,,,,387.585,393.552
149423305,734419219,43.020750052099295,43.49569327761992,1.047587002544575,,,,,387.585,393.552
1717876789,377191046,36.08460712481495,36.00703437563809,2.713940210068146,,5022.0,,9.916,2837.09,987.572
734419219,734419217,43.49569327761992,43.4986601067496,1.0475870025343872,,,,,393.552,387.585
734419219,149423305,43.49569327761992,43.020750052099295,1.0475870025343872,,,,,393.552,387.585
31410295,31410323,34.42161508565108,37.65617678029163,110.31980984969891,4624.5,4659.0,11.352,10.49,1051.34,950.595
31410323,31410295,37.65617678029163,34.42161508565108,110.31980984969218,4659.0,4624.5,10.49,11.352,950.595,1051.34
149991082,149991074,33.97334560445388,33.4871240289321,94.79709408725107,4767.0,4909.0,10.296,10.285,747.149,1374.83
149991074,149991082,33.4871240289321,33.97334560445388,94.79709408724997,4909.0,4767.0,10.285,10.296,1374.83,747.149
149625947,149625934,36.5038551741466,36.72496389096182,44.82358383856584,4719.0,4497.0,11.998,16.539,231.013,1862.28
149625934,149625947,36.72496389096182,36.5038551741466,44.82358383856795,4497.0,4719.0,16.539,11.998,1862.28,231.013
150191989,150191971,53.92588677624369,55.07065267645642,127.25751513162666,4563.0,4670.9,8.418,8.587,1464.44,1446.14
150191971,150191989,55.07065267645642,53.92588677624369,127.25751513163577,4670.9,4563.0,8.587,8.418,1446.14,1464.44
149972965,149972963,6.610121150804808,6.010067254195576,27.383050665750755,4793.0,4672.0,9.972,21.457,1305.48,1193.36
149972963,149972965,6.010067254195576,6.610121150804808,27.383050665756574,4672.0,4793.0,21.457,9.972,1193.36,1305.48
167169921,167169920,67.57232587414973,67.47010528497188,20.58063621924371,4744.0,4937.0,8.507,7.278,1467.57,440.205
167169920,167169921,67.47010528497188,67.57232587414973,20.580636219244006,4937.0,4744.0,7.278,8.507,440.205,1467.57
150148762,471011185,33.237765428017546,32.11069964361297,148.98941879068263,4540.5,4739.0,12.323,12.782,843.44,456.605
150148762,737206678,33.237765428017546,32.313712834902454,148.98941879068263,4540.5,4739.0,12.323,,843.44,456.605
167045755,167045762,15.25947441623938,15.541505654094149,41.05754711717288,4662.0,4931.0,12.913,5.053,2972.94,1351.65
471011185,150148762,32.11069964361297,33.237765428017546,148.98941879068423,4739.0,4540.5,12.782,12.323,456.605,843.44
167045762,167045755,15.541505654094149,15.25947441623938,41.0575471171745,4931.0,4662.0,5.053,12.913,1351.65,2972.94
276792310,276792291,12.071132180120417,12.12770070865366,36.24528045684595,6417.0,5842.0,4.583,15.078,1059.72,1790.93
276792291,276792310,12.12770070865366,12.071132180120417,36.24528045684103,5842.0,6417.0,15.078,4.583,1790.93,1059.72
167246821,736591764,30.87792081057958,31.315460407028947,1.899650909961733,4778.0,4999.0,10.762,11.35,1343.18,2035.82
150390247,150390249,39.84993368498504,40.34139810692155,19.84934127563026,5271.0,4734.0,3.023,9.611,1598.71,1303.79
150390249,150390247,40.34139810692155,39.84993368498504,19.849341275630266,4734.0,5271.0,9.611,3.023,1303.79,1598.71
150428314,150428305,32.13225339418748,32.41005929970873,88.98073196815474,4788.0,4733.4,10.771,11.945,890.434,1860.82
150428305,150428314,32.41005929970873,32.13225339418748,88.98073196815437,4733.4,4788.0,11.945,10.771,1860.82,890.434
41484066,41484052,8.745049028002112,8.923212529872288,39.92522101619185,4602.3,5277.0,20.424,4.293,2343.07,1488.91
41484052,41484066,8.923212529872288,8.745049028002112,39.92522101619501,5277.0,4602.3,4.293,20.424,1488.91,2343.07
372908476,372908473,34.74091552086099,34.78847037702135,29.102355403157222,4936.0,4492.0,9.884,10.18,534.426,2725.54
372908473,372908476,34.78847037702135,34.74091552086099,29.102355403149165,4492.0,4936.0,10.18,9.884,2725.54,534.426
149628855,149603023,42.04831161701089,38.83186404485856,149.85911378122515,4970.3,4727.0,11.821,11.246,646.688,842.585
149603023,149628855,38.83186404485856,42.04831161701089,149.85911378122856,4727.0,4970.3,11.246,11.821,842.585,646.688
41256918,41256930,29.603747555364684,30.56178779098112,29.289538982999296,4607.0,4776.0,10.246,8.484,1633.59,3136.16
41256930,41256918,30.56178779098112,29.603747555364684,29.289538983003347,4776.0,4607.0,8.484,10.246,3136.16,1633.59
31384125,31384118,14.286528045198924,14.213640001792262,27.758821443632655,4419.4,5007.0,22.036,10.718,1433.08,2530.9
31384118,31384125,14.213640001792262,14.286528045198924,27.758821443627372,5007.0,4419.4,10.718,22.036,2530.9,1433.08
276870585,276870599,7.865436216145249,7.815655506837846,26.61657161978571,4711.0,4472.0,24.417,93.222,1290.69,9215.8
276870599,276870585,7.815655506837846,7.865436216145249,26.616571619784736,4472.0,4711.0,93.222,24.417,9215.8,1290.69
389667805,389667757,53.77248432807955,54.71835526900596,49.13958393040721,7389.0,7380.0,6.852,7.401,1326.78,1019.71
389667757,389667805,54.71835526900596,53.77248432807955,49.139583930398715,7380.0,7389.0,7.401,6.852,1019.71,1326.78
389666154,389666145,78.29682000838397,77.66185221456331,13.666733295752708,6287.0,6366.0,7.236,9.247,593.373,3063.04
